Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0111/1525] steps=10,911,744 | rew=0.07022 | loss=0.1627 | sps=7,171 | ent=0.0080 | log_std=-1.736 | t=1847s stepping
[0112/1525] steps=11,010,048 | rew=0.06502 | loss=0.1961 | sps=7,097 | ent=0.0080 | log_std=-1.735 | t=1861s stepping
[0113/1525] steps=11,108,352 | rew=0.05943 | loss=0.2146 | sps=7,074 | ent=0.0080 | log_std=-1.734 | t=1875s stepping
[0114/1525] steps=11,206,656 | rew=0.05820 | loss=0.2145 | sps=7,189 | ent=0.0080 | log_std=-1.733 | t=1888s stepping
[0115/1525] steps=11,304,960 | rew=0.06337 | loss=0.1695 | sps=7,207 | ent=0.0080 | log_std=-1.732 | t=1902s stepping
[0116/1525] steps=11,403,264 | rew=0.06978 | loss=0.1438 | sps=7,194 | ent=0.0079 | log_std=-1.732 | t=1916s stepping
[0117/1525] steps=11,501,568 | rew=0.07485 | loss=0.1249 | sps=7,196 | ent=0.0079 | log_std=-1.731 | t=1929s stepping
[0118/1525] steps=11,599,872 | rew=0.07717 | loss=0.1144 | sps=7,185 | ent=0.0079 | log_std=-1.729 | t=1943s stepping
[0119/1525] steps=11,698,176 | rew=0.07723 | loss=0.1094 | sps=7,156 | ent=0.0079 | log_std=-1.728 | t=1957s stepping
[0120/1525] steps=11,796,480 | rew=0.07617 | loss=0.1088 | sps=7,045 | ent=0.0079 | log_std=-1.727 | t=1971s stepping
[0121/1525] steps=11,894,784 | rew=0.07450 | loss=0.1129 | sps=7,176 | ent=0.0079 | log_std=-1.725 | t=1985s stepping
[0122/1525] steps=11,993,088 | rew=0.07170 | loss=0.1216 | sps=7,186 | ent=0.0078 | log_std=-1.724 | t=1998s stepping
[0123/1525] steps=12,091,392 | rew=0.06871 | loss=0.1286 | sps=7,199 | ent=0.0078 | log_std=-1.723 | t=2012s stepping
[0124/1525] steps=12,189,696 | rew=0.06669 | loss=0.1293 | sps=7,181 | ent=0.0078 | log_std=-1.722 | t=2026s stepping
